Serial_number: -1717986918 
Time Data_Count Cycle State Desired_force_(psi) Measured_force_(psi) Toe_sensor Heel_Sensor
1479506658974 0 0 0 90.000 0.000 inf 40949528.00
1479506659059 1 0 1 90.000 0.000 40949528.00 40949528.00
1479506659100 2 0 1 90.000 0.000 40949528.00 40949528.00
1479506659141 3 0 1 90.000 0.000 13642863.00 20469530.00
1479506659182 4 0 1 90.000 0.000 inf 20469530.00
1479506659221 5 0 1 90.000 0.000 inf 40949528.00
1479506659266 6 0 1 90.000 0.000 20469530.00 40949528.00
1479506659310 7 0 1 90.000 0.000 inf 40949528.00
1479506659334 8 0 1 90.000 0.000 40949528.00 13642863.00
1479506659375 9 0 1 90.000 0.000 40949528.00 20469530.00
1479506659403 10 0 1 90.000 0.000 40949528.00 40949528.00
1479506659444 11 0 1 90.000 0.000 inf 40949528.00
1479506659479 12 0 1 90.000 0.000 inf 40949528.00
1479506659508 13 0 1 90.000 0.000 inf 40949528.00
1479506659547 14 0 1 90.000 0.000 40949528.00 40949528.00
1479506659585 15 0 2 90.000 0.000 inf 40949528.00
1479506659618 16 0 2 90.000 0.000 40949528.00 40949528.00
1479506659653 17 0 2 90.000 0.000 40949528.00 40949528.00
1479506659688 18 0 2 90.000 0.000 40949528.00 40949528.00
1479506659721 19 0 2 90.000 0.000 inf 40949528.00
1479506659758 20 0 2 90.000 0.000 20469530.00 40949528.00
1479506659795 21 0 2 90.000 0.000 40949528.00 20469530.00
1479506659833 22 0 2 90.000 0.000 40949528.00 40949528.00
1479506659862 23 0 2 90.000 0.000 40949528.00 20469530.00
1479506659901 24 0 2 90.000 0.000 inf 20469530.00
1479506659930 25 0 2 90.000 0.000 20469530.00 40949528.00
1479506659971 26 0 2 90.000 0.000 inf 40949528.00
1479506660003 27 0 2 90.000 0.000 inf 20469530.00
1479506660036 28 0 2 90.000 0.000 40949528.00 40949528.00
1479506660073 29 0 2 90.000 0.000 40949528.00 13642863.00
1479506660104 30 1 2 90.000 0.000 40949528.00 40949528.00
1479506660135 31 1 1 90.000 0.000 inf 40949528.00
1479506660174 32 1 1 90.000 0.000 40949528.00 40949528.00
1479506660204 33 1 1 90.000 0.000 inf 40949528.00
1479506660235 34 1 1 90.000 0.000 inf 40949528.00
1479506660276 35 1 1 90.000 0.000 40949528.00 40949528.00
1479506660305 36 1 1 90.000 0.000 40949528.00 40949528.00
1479506660344 37 1 1 90.000 0.000 inf 20469530.00
1479506660374 38 1 1 90.000 0.000 inf 20469530.00
1479506660418 39 1 1 90.000 0.000 40949528.00 inf
1479506660452 40 1 1 90.000 0.000 inf 40949528.00
1479506660484 41 1 1 90.000 0.000 20469530.00 13642863.00
1479506660517 42 1 1 90.000 0.000 inf 40949528.00
1479506660543 43 1 1 90.000 0.000 40949528.00 13642863.00
1479506660573 44 1 1 90.000 0.000 inf 13642863.00
1479506660602 45 1 1 90.000 0.000 40949528.00 40949528.00
1479506660633 46 1 1 90.000 0.000 inf 13642863.00
1479506660664 47 1 1 90.000 0.000 inf 40949528.00
1479506660690 48 1 2 90.000 0.000 40949528.00 20469530.00
1479506660717 49 1 2 90.000 0.000 40949528.00 40949528.00
1479506660747 50 1 2 90.000 0.000 inf 20469530.00
1479506660789 51 1 2 90.000 0.000 inf 20469530.00
1479506660830 52 1 2 90.000 0.000 inf 20469530.00
1479506660874 53 1 2 90.000 0.000 inf 13642863.00
1479506660916 54 1 2 90.000 0.000 40949528.00 40949528.00
1479506660958 55 1 2 90.000 0.000 40949528.00 20469530.00
1479506660998 56 1 2 90.000 0.000 40949528.00 40949528.00
1479506661040 57 1 2 90.000 0.000 20469530.00 40949528.00
1479506661085 58 1 2 90.000 0.000 inf 40949528.00
1479506661127 59 1 2 90.000 0.000 40949528.00 40949528.00
1479506661166 60 1 2 90.000 0.000 40949528.00 40949528.00
1479506661204 61 2 2 90.000 0.000 40949528.00 40949528.00
1479506661239 62 2 1 90.000 0.000 40949528.00 20469530.00
1479506661272 63 2 1 90.000 0.000 40949528.00 20469530.00
1479506661315 64 2 1 90.000 0.000 13642863.00 20469530.00
1479506661352 65 2 1 90.000 0.000 40949528.00 40949528.00
1479506661387 66 2 1 90.000 0.000 40949528.00 40949528.00
1479506661414 67 2 1 90.000 0.000 40949528.00 20469530.00
1479506661453 68 2 1 90.000 0.000 inf 20469530.00
1479506661484 69 2 1 90.000 0.000 40949528.00 40949528.00
1479506661515 70 2 1 90.000 0.000 20469530.00 inf
1479506661556 71 2 1 90.000 0.000 40949528.00 40949528.00
1479506661597 72 2 1 90.000 0.000 40949528.00 20469530.00
1479506661637 73 2 1 90.000 0.000 40949528.00 20469530.00
1479506661661 74 2 1 90.000 0.000 40949528.00 13642863.00
1479506661698 75 2 1 90.000 0.000 inf 13642863.00
1479506661737 76 2 1 90.000 0.000 40949528.00 40949528.00
1479506661774 77 2 1 90.000 0.000 40949528.00 13642863.00
1479506661811 78 2 2 90.000 0.000 40949528.00 20469530.00
1479506661843 79 2 2 90.000 0.000 inf 20469530.00
1479506661879 80 2 2 90.000 0.000 40949528.00 20469530.00
1479506661909 81 2 2 90.000 0.000 inf 20469530.00
1479506661946 82 2 2 90.000 0.000 inf 40949528.00
1479506661979 83 2 2 90.000 0.000 40949528.00 20469530.00
1479506662020 84 2 2 90.000 0.000 inf 40949528.00
1479506662049 85 2 2 90.000 0.000 inf 40949528.00
1479506662090 86 2 2 90.000 0.000 inf 20469530.00
1479506662120 87 2 2 90.000 0.000 40949528.00 40949528.00
1479506662151 88 2 2 90.000 0.000 inf 40949528.00
1479506662182 89 2 2 90.000 0.000 20469530.00 40949528.00
1479506662237 90 2 2 90.000 0.000 40949528.00 13642863.00
1479506662282 91 2 2 90.000 0.000 40949528.00 20469530.00
1479506662313 92 3 2 90.000 0.000 inf 40949528.00
1479506662343 93 3 1 90.000 0.000 inf 20469530.00
1479506662375 94 3 1 90.000 0.000 40949528.00 13642863.00
1479506662413 95 3 1 90.000 0.000 40949528.00 inf
1479506662449 96 3 1 90.000 0.000 inf 40949528.00
1479506662493 97 3 1 90.000 0.000 40949528.00 20469530.00
1479506662536 98 3 1 90.000 0.000 40949528.00 40949528.00
1479506662575 99 3 1 90.000 0.000 40949528.00 40949528.00
1479506662618 100 3 1 90.000 0.000 inf 40949528.00
1479506662661 101 3 1 90.000 0.000 inf 40949528.00
1479506662700 102 3 1 90.000 0.000 inf 20469530.00
1479506662745 103 3 1 90.000 0.000 20469530.00 20469530.00
1479506662785 104 3 1 90.000 0.000 40949528.00 20469530.00
1479506662826 105 3 1 90.000 0.000 40949528.00 40949528.00
1479506662866 106 3 1 90.000 0.000 40949528.00 40949528.00
1479506662897 107 3 2 90.000 0.000 40949528.00 20469530.00
1479506662929 108 3 2 90.000 0.000 40949528.00 20469530.00
1479506662961 109 3 2 90.000 0.000 40949528.00 20469530.00
1479506663000 110 3 2 90.000 0.000 40949528.00 20469530.00
1479506663039 111 3 2 90.000 0.000 20469530.00 40949528.00
1479506663079 112 3 2 90.000 0.000 inf 20469530.00
1479506663113 113 3 2 90.000 0.000 40949528.00 20469530.00
1479506663146 114 3 2 90.000 0.000 40949528.00 40949528.00
1479506663185 115 3 2 90.000 0.000 40949528.00 40949528.00
1479506663226 116 3 2 90.000 0.000 20469530.00 40949528.00
1479506663257 117 3 2 90.000 0.000 inf 40949528.00
1479506663293 118 3 2 90.000 0.000 inf 20469530.00
1479506663335 119 3 2 90.000 0.000 20469530.00 40949528.00
1479506663369 120 3 2 90.000 0.000 20469530.00 20469530.00
1479506663400 121 4 2 90.000 0.000 40949528.00 40949528.00
1479506663438 122 4 1 90.000 0.000 inf 20469530.00
1479506663473 123 4 1 90.000 0.000 inf 13642863.00
1479506663503 124 4 1 90.000 0.000 inf 40949528.00
1479506663543 125 4 1 90.000 0.000 inf 20469530.00
1479506663581 126 4 1 90.000 0.000 40949528.00 inf
1479506663620 127 4 1 90.000 0.000 inf 40949528.00
1479506663651 128 4 1 90.000 0.000 40949528.00 20469530.00
1479506663686 129 4 1 90.000 0.000 40949528.00 13642863.00
1479506663725 130 4 1 90.000 0.000 13642863.00 20469530.00
1479506663756 131 4 1 90.000 0.000 40949528.00 inf
1479506663793 132 4 1 90.000 0.000 40949528.00 20469530.00
1479506663827 133 4 1 90.000 0.000 40949528.00 40949528.00
1479506663852 134 4 1 90.000 0.000 inf 20469530.00
1479506663885 135 4 1 90.000 0.000 inf 20469530.00
1479506663911 136 4 1 90.000 0.000 13642863.00 20469530.00
1479506663942 137 4 1 90.000 0.000 20469530.00 20469530.00
1479506663972 138 4 2 90.000 0.000 inf 20469530.00
1479506664012 139 4 2 90.000 0.000 20469530.00 40949528.00
1479506664047 140 4 2 90.000 0.000 inf 40949528.00
1479506664092 141 4 2 90.000 0.000 inf 20469530.00
1479506664139 142 4 2 90.000 0.000 40949528.00 40949528.00
1479506664182 143 4 2 90.000 0.000 inf 13642863.00
1479506664225 144 4 2 90.000 0.000 40949528.00 40949528.00
1479506664268 145 4 2 90.000 0.000 40949528.00 inf
1479506664307 146 4 2 90.000 0.000 40949528.00 20469530.00
1479506664356 147 4 2 90.000 0.000 inf 20469530.00
1479506664399 148 4 2 90.000 0.000 40949528.00 20469530.00
1479506664434 149 4 2 90.000 0.000 inf 20469530.00
1479506664473 150 5 2 90.000 0.000 inf 40949528.00
1479506664500 151 5 1 90.000 0.000 40949528.00 40949528.00
1479506664541 152 5 1 90.000 0.000 inf 40949528.00
1479506664578 153 5 1 90.000 0.000 inf 20469530.00
1479506664618 154 5 1 90.000 0.000 40949528.00 40949528.00
1479506664655 155 5 1 90.000 0.000 inf 40949528.00
1479506664688 156 5 1 90.000 0.000 40949528.00 40949528.00
1479506664725 157 5 1 90.000 0.000 20469530.00 20469530.00
1479506664764 158 5 1 90.000 0.000 40949528.00 20469530.00
1479506664795 159 5 1 90.000 0.000 40949528.00 40949528.00
1479506664832 160 5 1 90.000 0.000 inf 40949528.00
1479506664866 161 5 1 90.000 0.000 inf 13642863.00
1479506664905 162 5 1 90.000 0.000 inf 20469530.00
1479506664935 163 5 1 90.000 0.000 20469530.00 20469530.00
1479506664975 164 5 1 90.000 0.000 40949528.00 13642863.00
1479506665012 165 5 1 90.000 0.000 40949528.00 20469530.00
1479506665051 166 5 2 90.000 0.000 inf 40949528.00
1479506665081 167 5 2 90.000 0.000 40949528.00 13642863.00
1479506665121 168 5 2 90.000 0.000 40949528.00 inf
1479506665153 169 5 2 90.000 0.000 40949528.00 13642863.00
1479506665193 170 5 2 90.000 0.000 40949528.00 40949528.00
1479506665223 171 5 2 90.000 0.000 inf 40949528.00
1479506665264 172 5 2 90.000 0.000 40949528.00 13642863.00
1479506665297 173 5 2 90.000 0.000 inf 40949528.00
1479506665331 174 5 2 90.000 0.000 40949528.00 40949528.00
1479506665362 175 5 2 90.000 0.000 40949528.00 40949528.00
1479506665393 176 5 2 90.000 0.000 20469530.00 40949528.00
1479506665420 177 5 2 90.000 0.000 inf 20469530.00
1479506665450 178 5 2 90.000 0.000 40949528.00 40949528.00
1479506665480 179 5 2 90.000 0.000 40949528.00 20469530.00
1479506665510 180 5 2 90.000 0.000 inf 20469530.00
1479506665535 181 5 2 90.000 0.000 40949528.00 20469530.00
1479506665563 182 6 2 90.000 0.000 40949528.00 20469530.00
1479506665603 183 6 1 90.000 0.000 40949528.00 inf
1479506665645 184 6 1 90.000 0.000 inf 40949528.00
1479506665686 185 6 1 90.000 0.000 20469530.00 40949528.00
1479506665727 186 6 1 90.000 0.000 40949528.00 20469530.00
1479506665772 187 6 1 90.000 0.000 40949528.00 20469530.00
1479506665808 188 6 1 90.000 0.000 20469530.00 20469530.00
1479506665852 189 6 1 90.000 0.000 40949528.00 20469530.00
1479506665897 190 6 1 90.000 0.000 inf 20469530.00
1479506665946 191 6 1 90.000 0.000 inf 20469530.00
1479506665982 192 6 1 90.000 0.000 40949528.00 40949528.00
1479506666022 193 6 1 90.000 0.000 inf 40949528.00
1479506666063 194 6 1 90.000 0.000 inf 13642863.00
1479506666095 195 6 1 90.000 0.000 40949528.00 20469530.00
1479506666126 196 6 1 90.000 0.000 40949528.00 20469530.00
1479506666163 197 6 2 90.000 0.000 inf 20469530.00
1479506666204 198 6 2 90.000 0.000 40949528.00 20469530.00
1479506666245 199 6 2 90.000 0.000 40949528.00 40949528.00
1479506666278 200 6 2 90.000 0.000 40949528.00 40949528.00
1479506666311 201 6 2 90.000 0.000 inf 20469530.00
1479506666348 202 6 2 90.000 0.000 inf 40949528.00
1479506666385 203 6 2 90.000 0.000 20469530.00 13642863.00
1479506666417 204 6 2 90.000 0.000 40949528.00 20469530.00
1479506666455 205 6 2 90.000 0.000 inf 40949528.00
1479506666492 206 6 2 90.000 0.000 inf 40949528.00
1479506666525 207 6 2 90.000 0.000 40949528.00 20469530.00
1479506666561 208 6 2 90.000 0.000 40949528.00 40949528.00
1479506666606 209 6 2 90.000 0.000 40949528.00 40949528.00
1479506666639 210 6 2 90.000 0.000 inf 20469530.00
1479506666678 211 7 2 90.000 0.000 inf 40949528.00
1479506666713 212 7 1 90.000 0.000 inf 40949528.00
1479506666750 213 7 1 90.000 0.000 20469530.00 20469530.00
1479506666787 214 7 1 90.000 0.000 inf 40949528.00
1479506666825 215 7 1 90.000 0.000 20469530.00 40949528.00
1479506666854 216 7 1 90.000 0.000 inf inf
1479506666895 217 7 1 90.000 0.000 inf 40949528.00
1479506666928 218 7 1 90.000 0.000 40949528.00 13642863.00
1479506666956 219 7 1 90.000 0.000 inf 20469530.00
1479506666985 220 7 1 90.000 0.000 inf 20469530.00
1479506667012 221 7 1 90.000 0.000 40949528.00 20469530.00
1479506667046 222 7 1 90.000 0.000 inf 20469530.00
1479506667077 223 7 1 90.000 0.000 40949528.00 20469530.00
1479506667106 224 7 1 90.000 0.000 40949528.00 20469530.00
1479506667137 225 7 1 90.000 0.000 40949528.00 20469530.00
1479506667180 226 7 1 90.000 0.000 inf 20469530.00
1479506667268 227 7 1 90.000 0.000 40949528.00 40949528.00
1479506667311 228 7 2 90.000 0.000 20469530.00 20469530.00
1479506667346 229 7 2 90.000 0.000 inf 20469530.00
1479506667389 230 7 2 90.000 0.000 inf 40949528.00
1479506667430 231 7 2 90.000 0.000 20469530.00 40949528.00
1479506667475 232 7 2 90.000 0.000 inf 20469530.00
1479506667518 233 7 2 90.000 0.000 inf 20469530.00
1479506667559 234 7 2 90.000 0.000 40949528.00 40949528.00
1479506667602 235 7 2 90.000 0.000 40949528.00 13642863.00
1479506667641 236 7 2 90.000 0.000 20469530.00 40949528.00
1479506667676 237 7 2 90.000 0.000 40949528.00 20469530.00
1479506667707 238 7 2 90.000 0.000 inf 20469530.00
1479506667741 239 7 2 90.000 0.000 inf 40949528.00
1479506667782 240 7 2 90.000 0.000 inf inf
1479506667815 241 8 2 90.000 0.000 inf 20469530.00
1479506667854 242 8 1 90.000 0.000 inf 20469530.00
1479506667881 243 8 1 90.000 0.000 20469530.00 40949528.00
1479506667919 244 8 1 90.000 0.000 inf 40949528.00
1479506667956 245 8 1 90.000 0.000 inf 40949528.00
1479506667990 246 8 1 90.000 0.000 inf 13642863.00
1479506668022 247 8 1 90.000 0.000 inf 40949528.00
1479506668062 248 8 1 90.000 0.000 40949528.00 13642863.00
1479506668098 249 8 1 90.000 0.000 inf 40949528.00
1479506668133 250 8 1 90.000 0.000 40949528.00 40949528.00
