Serial_number: 140 
Time Data_Count Cycle State Desired_force_(psi) Measured_force_(psi) Toe_sensor Heel_Sensor
1487881597581 0 0 0 60.000 0.000 24346.25 104179.68
1487881597679 1 0 1 60.000 0.484 24346.25 104179.68
1487881597719 2 0 1 60.000 0.484 24346.25 104179.68
1487881597754 3 0 1 60.000 0.484 24346.25 104179.68
1487881597784 4 0 1 60.000 0.484 24279.03 104179.68
1487881597808 5 0 1 60.000 0.000 24346.25 104179.68
1487881597829 6 0 1 60.000 0.484 24346.25 106413.12
1487881597848 7 0 1 60.000 0.484 24279.03 104179.68
1487881597869 8 0 1 60.000 0.000 24346.25 104179.68
1487881597885 9 0 1 60.000 0.484 24346.25 102737.55
1487881597902 10 0 1 60.000 0.000 24346.25 103454.05
1487881597914 11 0 1 60.000 0.484 24413.72 102737.55
1487881597928 12 0 1 60.000 0.000 24346.25 103454.05
1487881597944 13 0 1 60.000 0.000 24279.03 104179.68
1487881597953 14 0 1 60.000 0.484 24413.72 104179.68
1487881597967 15 0 1 60.000 0.000 24346.25 103454.05
1487881597975 16 0 1 60.000 0.000 24346.25 102737.55
1487881597982 17 0 1 60.000 0.484 24346.25 104179.68
1487881597988 18 0 1 60.000 0.484 24346.25 102737.55
1487881597995 19 0 1 60.000 0.484 24346.25 106413.12
1487881598002 20 0 1 60.000 0.000 24346.25 103454.05
1487881598009 21 0 1 60.000 0.484 24279.03 103454.05
1487881598015 22 0 1 60.000 0.000 24346.25 104914.62
1487881598022 23 0 1 60.000 0.000 24279.03 103454.05
1487881598029 24 0 1 60.000 0.000 24279.03 104914.62
1487881598036 25 0 1 60.000 0.484 24346.25 102737.55
1487881598042 26 0 1 60.000 0.484 24279.03 103454.05
1487881598049 27 0 1 60.000 0.000 24346.25 104179.68
1487881598056 28 0 1 60.000 0.000 24346.25 100641.11
1487881598063 29 0 1 60.000 0.000 24346.25 104179.68
1487881598069 30 0 1 60.000 0.484 24346.25 104914.62
1487881598076 31 0 1 60.000 0.484 24279.03 103454.05
1487881598083 32 0 1 60.000 0.484 24346.25 104914.62
1487881598090 33 0 1 60.000 0.000 24279.03 103454.05
1487881598098 34 0 1 60.000 0.000 24346.25 104179.68
1487881598105 35 0 1 60.000 0.000 24279.03 102737.55
1487881598112 36 0 1 60.000 0.484 24279.03 103454.05
1487881598119 37 0 1 60.000 0.484 24279.03 103454.05
1487881598125 38 0 1 60.000 0.000 24279.03 104179.68
1487881598132 39 0 1 60.000 0.484 24279.03 104914.62
1487881598139 40 0 1 60.000 0.484 24346.25 102737.55
1487881598146 41 0 1 60.000 0.000 24413.72 104914.62
1487881598153 42 0 1 60.000 0.000 24279.03 103454.05
1487881598160 43 0 1 60.000 0.000 24346.25 104179.68
1487881598166 44 0 1 60.000 0.000 24346.25 103454.05
1487881598173 45 0 1 60.000 0.484 24212.08 102737.55
1487881598180 46 0 1 60.000 0.484 24481.46 104179.68
1487881598187 47 0 1 60.000 0.000 24346.25 103454.05
1487881598194 48 0 1 60.000 0.000 24346.25 105659.03
1487881598200 49 0 1 60.000 0.000 24346.25 104914.62
1487881598207 50 0 1 60.000 0.000 24279.03 102030.00
1487881598214 51 0 1 60.000 0.000 24346.25 104914.62
1487881598221 52 0 1 60.000 0.484 24279.03 103454.05
1487881598227 53 0 1 60.000 0.000 24346.25 103454.05
1487881598234 54 0 1 60.000 0.484 24279.03 104914.62
1487881598241 55 0 1 60.000 0.484 24346.25 103454.05
1487881598248 56 0 1 60.000 0.484 24279.03 104179.68
1487881598254 57 0 1 60.000 0.000 24279.03 103454.05
1487881598261 58 0 1 60.000 0.484 24078.94 103454.05
1487881598268 59 0 1 60.000 0.484 24346.25 102737.55
1487881598275 60 0 1 60.000 0.000 24279.03 104914.62
1487881598281 61 0 1 60.000 0.484 24279.03 104914.62
