Time	Data_Count	Cycle	State	Desired_force_(psi)	Measured_force_(psi)	Toe_sensor	Heel_Sensor																			
1479848726355.00	95	0	2	196	0	289530	889530																			
1479848726366.00	96	0	2	196	0.484	289530	889530																			
1479848726376.00	97	0	2	196	0	299874.83	936898.42																			
1479848726393.00	98	0	2	196	0.484	289530	889530																			
1479848726406.00	99	0	2	196	0	294614.75	989530																			
1479848726417.00	100	0	2	196	0	299874.83	846672.86																			
1479848726428.00	101	0	2	196	0	299874.83	936898.42																			
1479848726446.00	102	0	2	196	0	294614.75	846672.86																			
1479848726460.00	103	0	2	196	0	299874.83	846672.86																			
1479848726471.00	104	0	2	196	0	294614.75	889530																			
1479848726482.00	105	1	2	196	0	294614.75	846672.86																			
1479848726495.00	106	1	1	196	0	305319.47	889530																			
1479848726513.00	107	1	1	196	0	299874.83	889530																			
1479848726524.00	108	1	1	196	0	294614.75	889530																			
1479848726533.00	109	1	1	196	0.484	299874.83	889530																			
1479848726545.00	110	1	1	196	0	299874.83	889530																			
1479848726555.00	111	1	1	196	0	299874.83	846672.86																			
1479848726565.00	112	1	1	196	-0.484	310958.57	889530																			
1479848726576.00	113	1	1	196	-0.484	316802.73	936898.42																			
1479848726585.00	114	1	1	196	0	316802.73	936898.42																			
1479848726596.00	115	1	1	196	0	310958.57	989530																			
1479848726607.00	116	1	1	196	16.932	322863.33	889530																			
1479848726619.00	117	1	1	196	15.481	322863.33	846672.86																			
1479848726629.00	118	1	1	196	0	316802.73	936898.42																			
1479848726641.00	119	1	1	196	-0.484	310958.57	989530																			
1479848726649.00	120	1	1	196	-0.484	305319.47	989530																			
1479848726661.00	121	1	1	196	-0.484	316802.73	989530																			
1479848726671.00	122	1	1	196	0	305319.47	936898.42																			
1479848726682.00	123	1	1	196	-0.484	305319.47	846672.86																			
1479848726692.00	124	1	1	196	-0.484	294614.75	889530																			
1479848726702.00	125	1	1	196	-0.484	294614.75	936898.42																			
1479848726713.00	126	1	1	196	0	305319.47	889530																			
1479848726725.00	127	1	1	196	0	305319.47	889530																			
1479848726735.00	128	1	1	196	-0.484	299874.83	846672.86																			
1479848726747.00	129	1	1	196	0	305319.47	936898.42																			
1479848726764.00	130	1	1	196	0	305319.47	936898.42																			
1479848726775.00	131	1	1	196	0	299874.83	846672.86																			
1479848726785.00	132	1	1	196	-0.484	299874.83	936898.42																			
1479848726794.00	133	1	1	196	0	310958.57	889530																			
1479848726804.00	134	1	1	196	0	250399.57	989530																			
1479848726824.00	135	1	1	196	1.451	81837.69	18330																			
1479848726840.00	136	1	1	196	77.887	21444.89	11724.82																			
1479848726854.00	137	1	1	196	127.231	11086.89	18989.9																			
1479848726872.00	138	1	1	196	191.573	8926.55	21615.56																			
1479848726889.00	139	1	1	196	238.015	7229.12	19282.07																			
1479848726905.00	140	1	1	196	280.103	6289.78	936898.42																			
1479848726919.00	141	1	1	196	312.515	5601.43	8989530																			
1479848726933.00	142	1	1	196	341.541	5060.63	17989530																			
1479848726952.00	143	1	1	196	373.954	4567.59	8989530																			
1479848726967.00	144	1	1	196	397.659	4284.1	17989530																			
1479848726983.00	145	1	1	196	417.009	3976.23	17989530																			
1479848727000.00	146	1	1	196	434.909	3781.78	8989530																			
1479848727018.00	147	1	1	196	449.422	3669.83	17989530																			
1479848727038.00	148	1	1	196	462	3548.69	8989530																			
1479848727053.00	149	1	1	196	469.256	3429.61	inf																			
1479848727071.00	150	1	1	196	476.513	3344.27	5989530																			
1479848727087.00	151	1	1	196	480.867	3259.98	5989530																			
1479848727103.00	152	1	1	196	484.737	3218.21	772138.7																			
1479848727120.00	153	1	1	196	486.672	3176.7	294614.75																			
1479848727134.00	154	1	1	196	488.607	3166.36	1275244.29																			
1479848727164.00	155	1	1	196	490.058	3145.73	2239530																			
1479848727184.00	156	1	1	196	490.058	3114.91	1048353.53																			
1479848727203.00	157	1	1	196	490.542	3074.02	38576.32																			
1479848727229.00	158	1	1	196	489.575	3043.51	84266.84																			
1479848727239.00	159	1	1	196	489.575	3023.25	24346.25																			
1479848727248.00	160	1	1	196	489.575	3013.15	21845.98																			
1479848727264.00	161	1	1	196	489.091	2992.98	20142.24																			
1479848727275.00	162	1	1	196	489.091	2972.87	19086.65																			
1479848727293.00	163	1	1	196	488.607	2972.87	12228.61																			
1479848727309.00	164	1	1	196	488.123	2972.87	28073.9																			
1479848727329.00	165	1	1	196	488.123	2952.82	22925.18																			
1479848727346.00	166	1	1	196	487.64	2952.82	30253.98																			
1479848727362.00	167	1	1	196	487.156	2942.82	38178.65																			
1479848727377.00	168	1	1	196	487.156	2952.82	24279.03																			
1479848727399.00	169	1	1	196	486.672	2942.82	15317.97																			
1479848727408.00	170	1	1	196	486.672	2942.82	11779.69																			
1479848727420.00	171	1	1	196	486.188	2922.86	10781.48																			
1479848727432.00	172	1	1	196	486.188	2932.83	10007.82																			
1479848727446.00	173	1	1	196	486.188	2932.83	11321.77																			
1479848727463.00	174	1	1	196	486.188	2942.82	16039.57																			
1479848727477.00	175	1	1	196	486.188	2932.83	12725.88																			
1479848727490.00	176	1	1	196	485.705	2912.9	12372.64																			
1479848727502.00	177	1	1	196	486.188	2922.86	15654.82																			
1479848727512.00	178	1	2	196	485.705	2912.9	10460.23																			
1479848727522.00	179	1	2	196	485.705	2902.96	12314.81																			
1479848727537.00	180	1	2	196	484.737	2902.96	10387.47																			
1479848727551.00	181	1	2	196	459.581	2982.91	26041.16																			
1479848727565.00	182	1	2	196	370.084	3408.18	17264.98																			
1479848727576.00	183	1	2	196	295.099	3964.64	60676.25																			
1479848727590.00	184	1	2	196	204.635	5473.31	17989530																			
1479848727609.00	185	1	2	196	100.624	7299	40812.05																			
1479848727620.00	186	1	2	196	54.182	9984.55	17480.31																			
1479848727629.00	187	1	2	196	20.318	19782.1	73642.15																			
1479848727649.00	188	1	2	196	-0.484	53586.94	175097.01																			
1479848727663.00	189	1	2	196	0	104179.68	310958.57																			
1479848727672.00	190	1	2	196	0	120916.86	463214.21																			
1479848727682.00	191	1	2	196	0	175097.01	2560958.57																			
1479848727705.00	192	1	2	196	0	223296.23	1275244.29																			
1479848727715.00	193	1	2	196	-0.484	262257.27	989530																			
1479848727727.00	194	1	2	196	0	284611.97	1048353.53																			
1479848727741.00	195	1	2	196	-0.484	322863.33	1114530																			
1479848727758.00	196	1	2	196	-0.484	342471.18	1374145.38																			
1479848727768.00	197	1	2	196	0	356876.94	1374145.38																			
1479848727778.00	198	1	2	196	-0.484	372508.72	1275244.29																			
1479848727799.00	199	1	2	196	-0.484	398620.91	1374145.38																			
1479848727811.00	200	1	2	196	-0.484	398620.91	1374145.38																			
1479848727822.00	201	1	2	196	0	398620.91	1489530																			
1479848727842.00	202	1	2	196	0	408134.65	1489530																			
1479848727858.00	203	1	2	196	0	428554.39	1489530																			
1479848727868.00	204	1	2	196	-0.484	463214.21	1275244.29																			
1479848727877.00	205	1	2	196	0	463214.21	1489530																			
1479848727897.00	206	1	2	196	-0.484	489530	1275244.29																			
1479848727909.00	207	1	2	196	0	463214.21	1374145.38																			
1479848727918.00	208	1	2	196	0	489530	1374145.38																			
1479848727936.00	209	1	2	196	0	489530	1189530																			
1479848727956.00	210	1	2	196	0	463214.21	1489530																			
