Serial_number: 140 
Time Data_Count Cycle State Desired_force_(psi) Measured_force_(psi) Toe_sensor Heel_Sensor
1484939151175 0 0 0 196.000 0.000 33539.78 55706.47
1484939151207 1 0 1 196.000 0.000 33756.04 55706.47
1484939151223 2 0 1 196.000 0.000 33647.65 55706.47
1484939151237 3 0 1 196.000 0.000 33647.65 55706.47
1484939151246 4 0 1 196.000 0.000 33756.04 55464.07
1484939151260 5 0 1 196.000 -0.968 33539.78 55464.07
1484939151271 6 0 1 196.000 -0.968 37275.36 71721.78
1484939151281 7 0 1 196.000 -0.484 43584.05 102737.55
1484939151288 8 0 1 196.000 -0.484 55706.47 275244.29
1484939151297 9 0 1 196.000 -0.484 90653.60 299874.83
1484939151301 10 0 1 196.000 -0.484 107951.05 335683.85
1484939151305 11 0 1 196.000 -0.484 123858.36 398620.91
1484939151309 12 0 1 196.000 -0.484 135871.46 372508.72
1484939151313 13 0 1 196.000 -0.484 144702.41 389530.00
1484939151317 14 0 1 196.000 -0.484 147424.74 428554.39
1484939151321 15 0 1 196.000 -0.484 153166.36 463214.21
1484939151325 16 0 1 196.000 -0.968 159341.32 489530.00
1484939151329 17 0 1 196.000 -0.484 167747.82 570175.16
1484939151333 18 0 1 196.000 -0.484 173203.47 610219.66
1484939151337 19 0 1 196.000 -0.484 179003.68 656196.67
1484939151341 20 0 1 196.000 -0.484 185182.17 846672.86
1484939151345 21 0 1 196.000 -0.484 191777.19 807711.82
1484939151349 22 0 1 196.000 -0.968 194075.45 989530.00
1484939151353 23 0 1 196.000 -0.484 198832.33 1789530.00
1484939151356 24 0 1 196.000 -0.484 206397.47 1989530.00
1484939151360 25 0 1 196.000 -0.968 209042.20 2239530.00
1484939151364 26 0 1 196.000 -0.484 211752.22 1989530.00
1484939151368 27 0 1 196.000 -0.484 217378.10 2560958.57
1484939151372 28 0 1 196.000 -0.484 214530.00 2560958.57
1484939151376 29 0 1 196.000 -0.484 223296.23 2239530.00
1484939151380 30 0 1 196.000 -0.484 220299.23 2560958.57
1484939151384 31 0 1 196.000 -0.484 226372.11 2560958.57
1484939151388 32 0 1 196.000 -0.484 223296.23 2560958.57
1484939151392 33 0 1 196.000 -0.484 226372.11 2560958.57
1484939151396 34 0 1 196.000 -0.484 229530.00 2560958.57
1484939151400 35 0 1 196.000 -0.968 232773.24 2239530.00
1484939151404 36 0 1 196.000 -0.484 229530.00 2560958.57
1484939151408 37 0 1 196.000 -0.968 232773.24 2239530.00
1484939151412 38 0 1 196.000 -0.484 236105.34 2560958.57
1484939151416 39 0 1 196.000 -0.484 236105.34 2989530.00
1484939151420 40 0 1 196.000 -0.484 236105.34 2560958.57
1484939151424 41 0 1 196.000 -0.484 236105.34 2239530.00
1484939151428 42 0 1 196.000 -0.484 243051.13 2560958.57
1484939151432 43 0 1 196.000 -0.968 243051.13 2989530.00
1484939151436 44 0 1 196.000 -0.968 239530.00 2560958.57
1484939151440 45 0 1 196.000 -0.968 239530.00 2560958.57
1484939151444 46 0 1 196.000 -0.484 239530.00 2560958.57
1484939151448 47 0 1 196.000 -0.484 236105.34 2560958.57
1484939151452 48 0 1 196.000 -0.484 239530.00 2239530.00
1484939151456 49 0 1 196.000 -0.484 239530.00 2239530.00
1484939151461 50 0 1 196.000 -0.968 239530.00 2560958.57
1484939151465 51 0 1 196.000 -0.484 239530.00 2560958.57
1484939151469 52 0 1 196.000 -0.484 239530.00 2560958.57
1484939151473 53 0 1 196.000 -0.484 243051.13 2560958.57
1484939151477 54 0 1 196.000 -0.484 236105.34 2239530.00
1484939151481 55 0 1 196.000 -0.484 239530.00 2560958.57
1484939151485 56 0 1 196.000 -0.484 236105.34 1989530.00
1484939151489 57 0 1 196.000 -0.484 236105.34 2560958.57
1484939151495 58 0 1 196.000 -0.968 243051.13 2239530.00
1484939151499 59 0 1 196.000 -0.968 243051.13 2239530.00
1484939151502 60 0 1 196.000 -0.484 243051.13 2560958.57
1484939151506 61 0 1 196.000 -0.968 243051.13 2239530.00
1484939151509 62 0 1 196.000 -0.968 243051.13 2560958.57
1484939151512 63 0 1 196.000 -0.484 246672.86 2560958.57
1484939151516 64 0 1 196.000 -0.484 246672.86 2239530.00
1484939151519 65 0 1 196.000 -0.968 250399.57 2560958.57
1484939151523 66 0 1 196.000 -0.968 246672.86 2239530.00
1484939151526 67 0 1 196.000 -0.968 266453.08 1789530.00
1484939151530 68 0 1 196.000 -0.484 266453.08 1789530.00
1484939151533 69 0 1 196.000 -0.484 266453.08 1789530.00
1484939151536 70 0 1 196.000 -0.484 262257.27 1789530.00
1484939151540 71 0 1 196.000 -0.484 270780.00 2239530.00
1484939151543 72 0 1 196.000 -0.484 266453.08 1989530.00
1484939151547 73 0 1 196.000 -0.484 270780.00 1989530.00
1484939151550 74 0 1 196.000 -0.484 266453.08 1989530.00
1484939151554 75 0 1 196.000 -0.484 270780.00 1989530.00
1484939151557 76 0 1 196.000 -0.484 262257.27 1989530.00
1484939151560 77 0 1 196.000 -0.484 270780.00 1989530.00
1484939151564 78 0 1 196.000 -0.968 270780.00 1989530.00
1484939151567 79 0 1 196.000 -0.484 266453.08 1789530.00
1484939151571 80 0 1 196.000 -0.484 270780.00 2239530.00
1484939151574 81 0 1 196.000 -0.968 270780.00 2239530.00
1484939151577 82 0 1 196.000 -0.968 266453.08 1989530.00
1484939151581 83 0 1 196.000 -0.484 266453.08 1789530.00
1484939151584 84 0 1 196.000 -0.484 266453.08 1789530.00
1484939151587 85 0 1 196.000 -0.484 262257.27 1989530.00
1484939151591 86 0 1 196.000 -0.484 266453.08 1789530.00
1484939151594 87 0 1 196.000 -0.484 266453.08 1625893.64
1484939151598 88 0 1 196.000 -0.484 266453.08 1989530.00
1484939151601 89 0 1 196.000 -0.484 262257.27 1989530.00
1484939151604 90 0 1 196.000 -0.484 258186.72 1989530.00
1484939151608 91 0 1 196.000 -0.484 262257.27 1789530.00
1484939151611 92 0 1 196.000 -0.484 258186.72 1989530.00
1484939151615 93 0 1 196.000 -0.484 262257.27 1789530.00
1484939151618 94 0 1 196.000 -0.484 262257.27 1789530.00
1484939151621 95 0 1 196.000 -0.484 262257.27 1625893.64
1484939151625 96 0 1 196.000 -0.484 262257.27 1789530.00
1484939151628 97 0 1 196.000 -0.484 258186.72 1789530.00
1484939151632 98 0 1 196.000 -0.484 258186.72 1989530.00
