Serial_number:	-1231536963								
Time	Data_Count	Cycle	State	Desired_force_(psi)	Measured_force_(psi)	Toe_sensor	Heel_Sensor		Desired 
1484787018158.0	93	0	2	196	0	254235.88	1275244.29		
1484787018164.0	94	0	2	196	0	250399.57	1189530		
1484787018175.0	95	0	2	196	0	254235.88	1275244.29		
1484787018185.0	96	0	2	196	0	258186.72	1275244.29		
1484787018197.0	97	0	2	196	0	254235.88	1189530		
1484787018206.0	98	0	2	196	0	254235.88	1275244.29		
1484787018210.0	99	0	2	196	0	254235.88	1114530		
1484787018219.0	100	0	2	196	0	254235.88	1189530		
1484787018232.0	101	0	2	196	0	250399.57	1048353.53		
1484787018242.0	102	0	2	196	0	254235.88	1048353.53		
1484787018255.0	103	0	2	196	0	254235.88	1114530		
1484787018262.0	104	0	2	196	0	246672.86	1114530		
1484787018273.0	105	0	2	196	0	246672.86	1114530		
1484787018282.0	106	0	2	196	0	254235.88	1189530		
1484787018292.0	107	1	2	196	0	250399.57	1114530		
1484787018299.0	108	1	1	196	0	254235.88	1048353.53		
1484787018312.0	109	1	1	196	0	250399.57	1114530		
1484787018321.0	110	1	1	196	0	250399.57	989530		
1484787018328.0	111	1	1	196	0	254235.88	1114530		
1484787018335.0	112	1	1	196	0	246672.86	1114530		
1484787018349.0	113	1	1	196	0	250399.57	989530		
1484787018356.0	114	1	1	196	0	254235.88	989530		
1484787018362.0	115	1	1	196	0	254235.88	1048353.53		
1484787018372.0	116	1	1	196	0	266453.08	1114530		
1484787018383.0	117	1	1	196	-0.484	262257.27	989530		
1484787018393.0	118	1	1	196	-0.484	258186.72	989530		
1484787018398.0	119	1	1	196	-0.484	262257.27	989530		
1484787018412.0	120	1	1	196	1.935	254235.88	989530		
1484787018421.0	121	1	1	196	7.257	254235.88	989530		
1484787018426.0	122	1	1	196	0	258186.72	989530		
1484787018433.0	123	1	1	196	-0.484	250399.57	989530		
1484787018439.0	124	1	1	196	-0.484	246672.86	989530		
1484787018447.0	125	1	1	196	-0.484	250399.57	1048353.53		
1484787018454.0	126	1	1	196	-0.484	254235.88	936898.42		
1484787018463.0	127	1	1	196	-0.484	254235.88	846672.86		
1484787018467.0	128	1	1	196	-0.484	246672.86	989530		
1484787018482.0	129	1	1	196	-0.484	246672.86	936898.42		
1484787018489.0	130	1	1	196	0	243051.13	989530		
1484787018495.0	131	1	1	196	-0.484	246672.86	989530		
1484787018503.0	132	1	1	196	0	246672.86	1048353.53		
1484787018508.0	133	1	1	196	0	243051.13	989530		
1484787018519.0	134	1	1	196	-0.484	239530	989530		
1484787018523.0	135	1	1	196	-0.484	239530	989530		
1484787018529.0	136	1	1	196	-0.484	246672.86	1048353.53		
1484787018545.0	137	1	1	196	-0.484	246672.86	1048353.53		
1484787018554.0	138	1	1	196	-0.484	250399.57	1114530		
1484787018558.0	139	1	1	196	-0.484	250399.57	1114530		
1484787018566.0	140	1	1	196	-0.484	250399.57	1189530		
1484787018571.0	141	1	1	196	0	258186.72	1789530		
1484787018578.0	142	1	1	196	-0.484	316802.73	inf		
1484787018597.0	143	1	1	196	0	67790.87	24755.05		
1484787018601.0	144	1	1	196	37.25	51173.84	23881.15		
1484787018605.0	145	1	1	196	65.793	34870.05	13788.76		
1484787018612.0	146	1	1	196	77.403	22079.73	16927.26		
1484787018618.0	147	1	1	196	102.559	14810.9	12030		
1484787018626.0	148	1	1	196	137.874	11670.22	25602.14		
1484787018632.0	149	1	1	196	161.095	8577.62	1374145.38		
1484787018646.0	150	1	1	196	219.631	7767.08	22925.18		
1484787018659.0	151	1	1	196	263.171	6904.52	3589530		
1484787018663.0	152	1	1	196	275.265	6527.17	8989530		
1484787018672.0	153	1	1	196	305.742	6013.52	17989530		
1484787018676.0	154	1	1	196	316.385	5702.51	17989530		
1484787018683.0	155	1	1	196	335.252	5389.03	8989530		
1484787018697.0	156	1	1	196	368.632	4888.36	17989530		
1484787018706.0	157	1	1	196	391.853	4656.05	17989530		
1484787018714.0	158	1	1	196	411.204	4418.34	8989530		
1484787018720.0	159	1	1	196	417.977	4284.1	8989530		
1484787018728.0	160	1	1	196	432.974	4164.15	17989530		
1484787018734.0	161	1	1	196	443.617	4069.58	17989530		
1484787018749.0	162	1	1	196	465.386	3804.39	17989530		
1484787018755.0	163	1	1	196	472.643	3703.23	17989530		
1484787018764.0	164	1	1	196	482.802	3625.54	inf		
1484787018770.0	165	1	1	196	488.123	3570.56	17989530		
