Serial_number: 0 
Time Data_Count Cycle State Desired_force_(psi) Measured_force_(psi) Toe_sensor Heel_Sensor
1475714704298 0 0 0 196.000 0.000 0.00 0.00
1475714704311 1 0 1 196.000 0.000 0.00 0.00
1475714704316 2 0 1 196.000 0.000 0.00 0.00
1475714704317 3 0 1 196.000 0.000 0.00 0.00
1475714704318 4 0 1 196.000 0.000 0.00 0.00
1475714704319 5 0 1 196.000 0.000 0.00 0.00
1475714704324 6 0 1 196.000 0.000 0.00 0.00
1475714704324 7 0 1 196.000 0.000 0.00 0.00
1475714704327 8 0 1 196.000 0.000 0.00 0.00
1475714704333 9 0 1 196.000 0.000 0.00 0.00
1475714704338 10 0 1 196.000 0.000 0.00 0.00
1475714704339 11 0 1 196.000 0.000 0.00 0.00
1475714704343 12 0 1 196.000 0.000 0.00 0.00
1475714704344 13 0 1 196.000 0.000 0.00 0.00
1475714704345 14 0 1 196.000 0.000 0.00 0.00
1475714704347 15 0 1 196.000 0.000 0.00 0.00
1475714704351 16 0 1 196.000 0.000 0.00 0.00
1475714704355 17 0 1 196.000 0.000 0.00 0.00
1475714704358 18 0 1 196.000 0.000 0.00 0.00
1475714704359 19 0 1 196.000 0.000 0.00 0.00
1475714704360 20 0 1 196.000 0.000 0.00 0.00
1475714704368 21 0 1 196.000 0.000 0.00 0.00
1475714704369 22 0 1 196.000 0.000 0.00 0.00
1475714704370 23 0 1 196.000 0.000 0.00 0.00
1475714704376 24 0 1 196.000 0.000 0.00 0.00
1475714704377 25 0 1 196.000 0.000 0.00 0.00
1475714704378 26 0 1 196.000 0.000 0.00 0.00
1475714704384 27 0 1 196.000 0.000 0.00 0.00
1475714704385 28 0 1 196.000 0.000 0.00 0.00
1475714704386 29 0 1 196.000 0.000 0.00 0.00
1475714704389 30 0 1 196.000 0.000 0.00 0.00
1475714704393 31 0 1 196.000 0.000 0.00 0.00
1475714704399 32 0 1 196.000 0.000 0.00 0.00
1475714704400 33 0 1 196.000 0.000 0.00 0.00
1475714704401 34 0 1 196.000 0.000 0.00 0.00
1475714704408 35 0 1 196.000 0.000 0.00 0.00
1475714704415 36 0 1 196.000 0.000 0.00 0.00
1475714704416 37 0 1 196.000 0.000 0.00 0.00
1475714704417 38 0 1 196.000 0.000 0.00 0.00
1475714704418 39 0 1 196.000 0.000 0.00 0.00
1475714704419 40 0 1 196.000 0.000 0.00 0.00
1475714704427 41 0 1 196.000 0.000 0.00 0.00
1475714704428 42 0 1 196.000 0.000 0.00 0.00
1475714704429 43 0 1 196.000 0.000 0.00 0.00
1475714704430 44 0 1 196.000 0.000 0.00 0.00
1475714704431 45 0 1 196.000 0.000 0.00 0.00
1475714704435 46 0 1 196.000 0.000 0.00 0.00
1475714704439 47 0 1 196.000 0.000 0.00 0.00
1475714704440 48 0 1 196.000 0.000 0.00 0.00
1475714704441 49 0 1 196.000 0.000 0.00 0.00
1475714704442 50 0 1 196.000 0.000 0.00 0.00
1475714704447 51 0 1 196.000 0.000 0.00 0.00
1475714704448 52 0 1 196.000 0.000 0.00 0.00
1475714704450 53 0 1 196.000 0.000 0.00 0.00
1475714704451 54 0 1 196.000 0.000 0.00 0.00
1475714704455 55 0 1 196.000 0.000 0.00 0.00
1475714704456 56 0 1 196.000 0.000 0.00 0.00
1475714704457 57 0 1 196.000 0.000 0.00 0.00
1475714704460 58 0 1 196.000 0.000 0.00 0.00
1475714704461 59 0 1 196.000 0.000 0.00 0.00
1475714704464 60 0 1 196.000 0.000 0.00 0.00
1475714704465 61 0 1 196.000 0.000 0.00 0.00
1475714704466 62 0 1 196.000 0.000 0.00 0.00
1475714704471 63 0 1 196.000 0.000 0.00 0.00
1475714704471 64 0 1 196.000 0.000 0.00 0.00
1475714704476 65 0 1 196.000 0.000 0.00 0.00
1475714704477 66 0 1 196.000 0.000 0.00 0.00
1475714704478 67 0 1 196.000 0.000 0.00 0.00
1475714704479 68 0 1 196.000 0.000 0.00 0.00
1475714704481 69 0 1 196.000 0.000 0.00 0.00
1475714704482 70 0 1 196.000 0.000 0.00 0.00
1475714704489 71 0 1 196.000 0.000 0.00 0.00
1475714704490 72 0 1 196.000 0.000 0.00 0.00
1475714704491 73 0 1 196.000 0.000 0.00 0.00
1475714704492 74 0 1 196.000 0.000 0.00 0.00
1475714704493 75 0 1 196.000 0.000 0.00 0.00
1475714704497 76 0 1 196.000 0.000 0.00 0.00
1475714704501 77 0 1 196.000 0.000 0.00 0.00
1475714704502 78 0 1 196.000 0.000 0.00 0.00
1475714704503 79 0 1 196.000 0.000 0.00 0.00
1475714704504 80 0 1 196.000 0.000 0.00 0.00
1475714704505 81 0 1 196.000 0.000 0.00 0.00
1475714704509 82 0 1 196.000 0.000 0.00 0.00
1475714704511 83 0 1 196.000 0.000 0.00 0.00
1475714704512 84 0 1 196.000 0.000 0.00 0.00
1475714704513 85 0 1 196.000 0.000 0.00 0.00
1475714704517 86 0 1 196.000 0.000 0.00 0.00
1475714704518 87 0 1 196.000 0.000 0.00 0.00
1475714704519 88 0 1 196.000 0.000 0.00 0.00
1475714704522 89 0 1 196.000 0.000 0.00 0.00
1475714704523 90 0 1 196.000 0.000 0.00 0.00
1475714704531 91 0 1 196.000 0.000 0.00 0.00
1475714704532 92 0 1 196.000 0.000 0.00 0.00
1475714704533 93 0 1 196.000 0.000 0.00 0.00
1475714704534 94 0 1 196.000 0.000 0.00 0.00
1475714704535 95 0 1 196.000 0.000 0.00 0.00
1475714704538 96 0 1 196.000 0.000 0.00 0.00
1475714704539 97 0 1 196.000 0.000 0.00 0.00
1475714704542 98 0 1 196.000 0.000 0.00 0.00
1475714704543 99 0 1 196.000 0.000 0.00 0.00
1475714704543 100 0 1 196.000 0.000 0.00 0.00
1475714704548 101 0 1 196.000 0.000 0.00 0.00
1475714704553 102 0 1 196.000 0.000 0.00 0.00
1475714704553 103 0 1 196.000 0.000 0.00 0.00
1475714704554 104 0 1 196.000 0.000 0.00 0.00
1475714704555 105 0 1 196.000 0.000 0.00 0.00
1475714704556 106 0 1 196.000 0.000 0.00 0.00
1475714704560 107 0 1 196.000 0.000 0.00 0.00
1475714704562 108 0 1 196.000 0.000 0.00 0.00
1475714704598 109 0 1 196.000 0.000 0.00 0.00
1475714704599 110 0 1 196.000 0.000 0.00 0.00
1475714704600 111 0 1 196.000 0.000 0.00 0.00
1475714704601 112 0 1 196.000 0.000 0.00 0.00
1475714704601 113 0 1 196.000 0.000 0.00 0.00
1475714704602 114 0 1 196.000 0.000 0.00 0.00
1475714704604 115 0 1 196.000 0.000 0.00 0.00
1475714704605 116 0 1 196.000 0.000 0.00 0.00
1475714704606 117 0 1 196.000 0.000 0.00 0.00
1475714704607 118 0 1 196.000 0.000 0.00 0.00
1475714704608 119 0 1 196.000 0.000 0.00 0.00
1475714704609 120 0 1 196.000 0.000 0.00 0.00
1475714704613 121 0 1 196.000 0.000 0.00 0.00
1475714704620 122 0 1 196.000 0.000 0.00 0.00
1475714704621 123 0 1 196.000 0.000 0.00 0.00
