Serial_number: 0 
Time Data_Count Cycle State Desired_force_(psi) Measured_force_(psi) Toe_sensor Heel_Sensor
1479848838563 0 0 0 196.000 0.000 284611.97 846672.86
1479848838614 1 0 1 196.000 0.484 284611.97 846672.86
1479848838639 2 0 1 196.000 0.000 289530.00 846672.86
1479848838667 3 0 1 196.000 0.000 299874.83 846672.86
1479848838693 4 0 1 196.000 0.000 289530.00 807711.82
1479848838716 5 0 1 196.000 0.000 294614.75 807711.82
1479848838742 6 0 1 196.000 0.000 289530.00 846672.86
1479848838763 7 0 1 196.000 0.000 289530.00 846672.86
1479848838786 8 0 1 196.000 0.000 289530.00 846672.86
1479848838811 9 0 1 196.000 0.000 289530.00 846672.86
1479848838830 10 0 1 196.000 0.000 294614.75 846672.86
1479848838855 11 0 1 196.000 0.000 289530.00 807711.82
1479848838881 12 0 1 196.000 0.000 289530.00 889530.00
1479848838895 13 0 1 196.000 0.484 294614.75 846672.86
1479848838909 14 0 1 196.000 0.000 294614.75 846672.86
1479848838927 15 0 1 196.000 0.000 289530.00 846672.86
1479848838941 16 0 1 196.000 0.484 294614.75 807711.82
1479848838957 17 0 1 196.000 0.000 289530.00 889530.00
1479848838970 18 0 1 196.000 0.000 284611.97 846672.86
1479848838989 19 0 1 196.000 0.000 284611.97 889530.00
1479848839008 20 0 1 196.000 0.000 289530.00 889530.00
1479848839034 21 0 1 196.000 0.000 294614.75 846672.86
1479848839057 22 0 1 196.000 0.000 289530.00 846672.86
1479848839080 23 0 1 196.000 0.000 294614.75 846672.86
1479848839104 24 0 1 196.000 0.000 294614.75 807711.82
1479848839126 25 0 1 196.000 0.000 294614.75 889530.00
1479848839142 26 0 1 196.000 0.000 289530.00 807711.82
1479848839155 27 0 1 196.000 0.000 289530.00 936898.42
1479848839167 28 0 1 196.000 0.000 289530.00 846672.86
1479848839183 29 0 1 196.000 0.000 289530.00 846672.86
1479848839200 30 0 1 196.000 0.000 284611.97 889530.00
1479848839210 31 0 1 196.000 0.000 294614.75 807711.82
1479848839219 32 0 1 196.000 0.000 284611.97 889530.00
1479848839231 33 0 1 196.000 0.000 284611.97 846672.86
1479848839242 34 0 1 196.000 0.000 289530.00 807711.82
1479848839258 35 0 1 196.000 0.000 294614.75 807711.82
1479848839277 36 0 1 196.000 0.000 299874.83 807711.82
1479848839285 37 0 1 196.000 0.000 284611.97 807711.82
1479848839297 38 0 1 196.000 0.000 289530.00 889530.00
1479848839313 39 0 1 196.000 0.484 289530.00 846672.86
1479848839332 40 0 1 196.000 0.000 294614.75 772138.70
1479848839340 41 0 1 196.000 0.000 289530.00 846672.86
1479848839350 42 0 1 196.000 0.000 289530.00 889530.00
1479848839360 43 0 1 196.000 0.000 294614.75 846672.86
1479848839377 44 0 1 196.000 0.000 294614.75 846672.86
