Serial_number: -1717986918 
Time Data_Count Cycle State Desired_force_(psi) Measured_force_(psi) Toe_sensor Heel_Sensor
1479752107822 0 0 0 196.000 1.000 -789.87 -2505.37
1479752107908 1 0 1 196.000 1.000 -784.66 8262.40
1479752107945 2 0 1 196.000 1.000 -764.40 8262.40
1479752107977 3 0 1 196.000 1.000 -749.65 inf
1479752108005 4 0 1 196.000 1.000 -737.77 19292.80
1479752108037 5 0 1 196.000 1.000 -730.18 inf
1479752108064 6 0 1 196.000 1.000 -724.80 8262.40
1479752108092 7 0 1 196.000 1.000 -720.11 19292.80
1479752108123 8 0 1 196.000 1.000 -718.40 inf
1479752108158 9 0 1 196.000 1.000 -718.40 19292.80
1479752108193 10 0 1 196.000 1.000 -712.74 8262.40
1479752108218 11 0 1 196.000 1.000 -714.72 8262.40
1479752108249 12 0 1 196.000 1.000 -712.74 8262.40
1479752108279 13 0 1 196.000 1.000 -712.74 inf
1479752108300 14 0 1 196.000 1.000 -712.74 19292.80
1479752108323 15 0 1 196.000 1.000 -710.65 19292.80
1479752108342 16 0 1 196.000 1.000 -710.65 19292.80
1479752108357 17 0 1 196.000 1.000 -710.65 19292.80
1479752108373 18 0 1 196.000 1.000 -710.65 8262.40
1479752108385 19 0 2 196.000 1.000 -710.65 19292.80
1479752108399 20 0 2 196.000 1.000 -710.65 8262.40
1479752108414 21 0 2 196.000 1.000 -708.45 19292.80
1479752108429 22 0 2 196.000 1.000 -710.65 19292.80
1479752108443 23 0 2 196.000 1.000 -708.45 19292.80
1479752108457 24 0 2 196.000 1.000 -708.45 19292.80
1479752108471 25 0 2 196.000 1.000 -706.13 inf
1479752108485 26 0 2 196.000 1.000 -708.45 19292.80
1479752108510 27 0 2 196.000 1.000 -706.13 19292.80
1479752108530 28 0 2 196.000 1.000 -706.13 19292.80
1479752108551 29 0 2 196.000 1.000 -703.68 19292.80
1479752108576 30 0 2 196.000 1.000 -703.68 19292.80
1479752108595 31 0 2 196.000 1.000 -703.68 19292.80
1479752108619 32 0 2 196.000 1.000 -703.68 19292.80
1479752108644 33 0 2 196.000 1.000 -703.68 4585.60
1479752108660 34 0 2 196.000 1.000 -703.68 19292.80
1479752108685 35 0 2 196.000 1.000 -706.13 19292.80
1479752108706 36 0 2 196.000 1.000 -706.13 8262.40
1479752108725 37 0 2 196.000 1.000 -708.45 inf
1479752108749 38 0 2 196.000 1.000 -701.08 19292.80
1479752108771 39 0 2 196.000 1.000 -706.13 19292.80
1479752108799 40 0 2 196.000 1.000 -706.13 8262.40
1479752108813 41 0 2 196.000 1.000 -708.45 8262.40
1479752108836 42 0 2 196.000 1.000 -708.45 19292.80
1479752108859 43 0 2 196.000 1.000 -706.13 19292.80
1479752108878 44 0 2 196.000 1.000 -708.45 19292.80
1479752108892 45 1 2 196.000 1.000 -703.68 4585.60
1479752108918 46 1 1 196.000 1.000 -706.13 19292.80
1479752108931 47 1 1 196.000 1.000 -706.13 19292.80
1479752108947 48 1 1 196.000 1.000 -706.13 19292.80
1479752108971 49 1 1 196.000 1.000 -706.13 19292.80
1479752108992 50 1 1 196.000 1.000 -703.68 inf
1479752109012 51 1 1 196.000 1.000 -703.68 19292.80
1479752109026 52 1 1 196.000 1.000 -703.68 19292.80
1479752109046 53 1 1 196.000 1.000 -703.68 19292.80
1479752109062 54 1 1 196.000 1.000 -706.13 19292.80
1479752109077 55 1 1 196.000 1.000 -703.68 19292.80
1479752109103 56 1 1 196.000 1.000 -706.13 8262.40
1479752109117 57 1 1 196.000 1.000 -708.45 19292.80
1479752109138 58 1 1 196.000 1.000 -703.68 19292.80
1479752109160 59 1 1 196.000 1.000 -706.13 19292.80
1479752109172 60 1 1 196.000 1.000 -701.08 19292.80
1479752109195 61 1 1 196.000 1.000 -703.68 19292.80
1479752109211 62 1 1 196.000 1.000 -692.28 19292.80
1479752109233 63 1 1 196.000 1.000 -767.27 inf
1479752109251 64 1 1 196.000 1.000 -786.24 19292.80
1479752109267 65 1 1 196.000 1.000 -788.32 8262.40
1479752109291 66 1 1 196.000 1.000 -788.96 19292.80
1479752109306 67 1 1 196.000 1.000 -789.19 4585.60
1479752109330 68 1 1 196.000 1.000 -789.41 8262.40
1479752109343 69 1 1 196.000 1.000 -789.48 19292.80
1479752109358 70 1 1 196.000 1.000 -789.55 8262.40
1479752109383 71 1 1 196.000 1.000 -789.62 19292.80
1479752109400 72 1 1 196.000 1.000 -789.65 8262.40
1479752109419 73 1 1 196.000 1.000 -789.69 8262.40
1479752109437 74 1 2 196.000 1.000 -789.71 19292.80
1479752109452 75 1 2 196.000 1.000 -789.73 -2650.66
1479752109477 76 1 2 196.000 1.000 -789.73 8262.40
1479752109490 77 1 2 196.000 1.000 -789.63 19292.80
1479752109514 78 1 2 196.000 1.000 -789.29 19292.80
1479752109530 79 1 2 196.000 1.000 -788.88 19292.80
1479752109543 80 1 2 196.000 1.000 -787.07 inf
1479752109566 81 1 2 196.000 1.000 -780.11 4585.60
1479752109581 82 1 2 196.000 1.000 -770.97 inf
1479752109597 83 1 2 196.000 1.000 -759.80 19292.80
1479752109623 84 1 2 196.000 1.000 -752.37 19292.80
1479752109635 85 1 2 196.000 1.000 -746.54 8262.40
1479752109650 86 1 2 196.000 1.000 -739.61 19292.80
1479752109674 87 1 2 196.000 1.000 -733.68 4585.60
1479752109689 88 1 2 196.000 1.000 -730.18 19292.80
1479752109712 89 1 2 196.000 1.000 -721.75 8262.40
1479752109727 90 1 2 196.000 1.000 -720.11 19292.80
1479752109742 91 1 2 196.000 1.000 -718.40 8262.40
1479752109762 92 1 2 196.000 1.000 -716.60 19292.80
1479752109781 93 1 2 196.000 1.000 -712.74 19292.80
1479752109793 94 1 2 196.000 1.000 -712.74 19292.80
1479752109812 95 1 2 196.000 1.000 -712.74 19292.80
1479752109828 96 1 2 196.000 1.000 -714.72 19292.80
1479752109842 97 1 2 196.000 1.000 -714.72 19292.80
1479752109857 98 1 2 196.000 1.000 -714.72 19292.80
1479752109873 99 1 2 196.000 1.000 -712.74 8262.40
1479752109886 100 1 2 196.000 1.000 -710.65 19292.80
1479752109902 101 1 2 196.000 1.000 -714.72 4585.60
1479752109917 102 1 2 196.000 1.000 -712.74 19292.80
1479752109931 103 1 2 196.000 1.000 -712.74 19292.80
1479752109947 104 2 2 196.000 1.000 -714.72 19292.80
1479752109963 105 2 1 196.000 1.000 -712.74 8262.40
1479752109978 106 2 1 196.000 1.000 -712.74 19292.80
1479752109990 107 2 1 196.000 1.000 -710.65 8262.40
1479752110005 108 2 1 196.000 1.000 -710.65 19292.80
1479752110029 109 2 1 196.000 1.000 -710.65 8262.40
1479752110052 110 2 1 196.000 1.000 -712.74 8262.40
1479752110068 111 2 1 196.000 1.000 -712.74 19292.80
1479752110092 112 2 1 196.000 1.000 -710.65 19292.80
1479752110109 113 2 1 196.000 1.000 -712.74 19292.80
1479752110131 114 2 1 196.000 1.000 -710.65 19292.80
1479752110158 115 2 1 196.000 1.000 -710.65 19292.80
1479752110181 116 2 1 196.000 1.000 -708.45 19292.80
1479752110203 117 2 1 196.000 1.000 -710.65 19292.80
1479752110221 118 2 1 196.000 1.000 -708.45 8262.40
1479752110245 119 2 1 196.000 1.000 -703.68 8262.40
1479752110269 120 2 1 196.000 1.000 -765.58 -2574.48
1479752110289 121 2 1 196.000 1.000 -787.85 -2719.41
1479752110315 122 2 1 196.000 1.000 -788.79 -2078.60
1479752110342 123 2 1 196.000 1.000 -789.22 19292.80
1479752110367 124 2 1 196.000 1.000 -789.42 8262.40
1479752110391 125 2 1 196.000 1.000 -789.54 19292.80
1479752110411 126 2 1 196.000 1.000 -789.61 8262.40
1479752110433 127 2 1 196.000 1.000 -789.65 inf
1479752110460 128 2 1 196.000 1.000 -789.69 -316.80
1479752110484 129 2 1 196.000 1.000 -789.72 -2749.75
1479752110509 130 2 2 196.000 1.000 -789.74 -2528.21
1479752110526 131 2 2 196.000 1.000 -789.74 -316.80
1479752110550 132 2 2 196.000 1.000 -789.74 19292.80
1479752110564 133 2 2 196.000 1.000 -789.60 19292.80
1479752110587 134 2 2 196.000 1.000 -789.30 19292.80
1479752110602 135 2 2 196.000 1.000 -788.92 19292.80
1479752110626 136 2 2 196.000 1.000 -786.89 19292.80
1479752110640 137 2 2 196.000 1.000 -780.20 4585.60
1479752110662 138 2 2 196.000 1.000 -770.23 -2254.96
1479752110677 139 2 2 196.000 1.000 -760.13 -1980.11
1479752110693 140 2 2 196.000 1.000 -752.37 -1606.91
1479752110720 141 2 2 196.000 1.000 -745.16 -1389.20
1479752110732 142 2 2 196.000 1.000 -738.70 -1192.23
1479752110757 143 2 2 196.000 1.000 -734.76 -1071.02
1479752110771 144 2 2 196.000 1.000 -730.18 -1071.02
1479752110794 145 2 2 196.000 1.000 -723.31 -762.47
1479752110808 146 2 2 196.000 1.000 -723.31 -762.47
1479752110829 147 2 2 196.000 1.000 -718.40 -762.47
1479752110847 148 2 2 196.000 1.000 -712.74 -929.60
1479752110869 149 2 2 196.000 1.000 -714.72 -561.92
1479752110886 150 2 2 196.000 1.000 -714.72 -929.60
1479752110900 151 2 2 196.000 1.000 -714.72 -929.60
1479752110927 152 2 2 196.000 1.000 -718.40 -929.60
1479752110938 153 2 2 196.000 1.000 -712.74 -929.60
1479752110962 154 2 2 196.000 1.000 -710.65 2747.20
1479752110978 155 2 2 196.000 1.000 -710.65 908.80
1479752110999 156 2 2 196.000 1.000 -714.72 908.80
1479752111015 157 3 2 196.000 1.000 -712.74 908.80
